StringID  Type       x         y
D0         d         1472      603
D1         d         4226      721
D2         d         4490      4769
C0         c         4871      1157
C1         c         5359      50
C2         c         5459      6628
C3         c         5187      6436
C4         c         4596      2269
C5         c         265       1787
C6         c         1582      4653
C7         c         7516      4731
C8         c         2184      4563
C9         c         142       6075
C10        c         6795      964
C11        c         2830      1659
C12        c         2502      225
C13        c         5519      183
C14        c         6165      6182
C15        c         1382      3453
C16        c         4387      2084
C17        c         5684      3579
C18        c         4398      6321
C19        c         198       3804
C20        c         6410      5342
C21        c         2361      981
C22        c         873       297
C23        c         98        5498
C24        c         857       1524
C25        c         6253      855
C26        c         4622      1078
C27        c         4291      4156
C28        c         2018      6257
C29        c         2354      3800
C30        c         666       6116
C31        c         2120      2697
C32        c         235       6657
C33        c         4863      115
C34        c         6973      3617
C35        c         928       5328
C36        c         7598      375
C37        c         2529      5766
C38        c         7002      4930
C39        c         7248      7423

TRUCKCAPACITY /10/
DEPOTCAPACITY /25/
DEPOTFIXCOST /483/
