StringID  Type       x         y
D0         d         2250      3771
D1         d         3949      2652
D2         d         1004      2292
D3         d         3527      508
D4         d         3617      2808
C0         c         977       505
C1         c         2232      1259
C2         c         2991      3735
C3         c         3538      376
C4         c         2610      2516
C5         c         3402      2946
C6         c         380       3961
C7         c         19        1694
C8         c         2564      1104
C9         c         258       1439
C10        c         3932      501
C11        c         236       2802
C12        c         2961      2863
C13        c         400       2347
C14        c         1267      1633
C15        c         1336      447
C16        c         3894      1436
C17        c         1340      3892
C18        c         2103      3352
C19        c         1575      2998
C20        c         1155      2755
C21        c         3166      3019
C22        c         853       56
C23        c         1471      3753
C24        c         3838      3027
C25        c         1414      70
C26        c         1226      420
C27        c         3894      2352
C28        c         2880      642
C29        c         694       159
C30        c         554       3043
C31        c         185       744
C32        c         1623      2185
C33        c         2211      2035
C34        c         1821      3743
C35        c         2281      15
C36        c         386       388
C37        c         1592      2116
C38        c         637       3399
C39        c         568       553
C40        c         2617      948
C41        c         3666      3543
C42        c         538       973
C43        c         816       2302
C44        c         1186      3901
C45        c         1413      2871
C46        c         310       169
C47        c         525       2649
C48        c         1501      328
C49        c         2165      2384
C50        c         2249      1557
C51        c         2366      1643
C52        c         3385      3458
C53        c         286       3444
C54        c         2749      46
C55        c         3176      3462
C56        c         2524      3258
C57        c         2797      698
C58        c         147       2745
C59        c         675       3362
C60        c         3935      807
C61        c         1477      1146
C62        c         3037      3388
C63        c         955       1180
C64        c         1135      2304
C65        c         987       851
C66        c         3842      1313
C67        c         2928      626
C68        c         1806      258
C69        c         1018      3589
C70        c         3486      3927
C71        c         2934      3912
C72        c         1616      3374
C73        c         288       2519
C74        c         3455      496
C75        c         918       614
C76        c         2847      1321
C77        c         2270      1330
C78        c         2664      2947
C79        c         3691      1719
C80        c         2871      3738
C81        c         1084      1796
C82        c         945       2476
C83        c         70        3308
C84        c         3274      1647
C85        c         19        1886
C86        c         3334      71
C87        c         331       3703
C88        c         1757      2968
C89        c         2546      2742
C90        c         2980      857
C91        c         305       1201
C92        c         3913      2122
C93        c         569       2214
C94        c         3935      967
C95        c         1958      180
C96        c         1019      349
C97        c         97        2795
C98        c         3486      381
C99        c         2440      3169
C100       c         149       1199
C101       c         146       2119
C102       c         829       1992
C103       c         397       699
C104       c         779       3967
C105       c         907       3551
C106       c         3595      637
C107       c         3677      1098
C108       c         1862      2451
C109       c         3614      574
C110       c         2250      2512
C111       c         3827      1146
C112       c         933       2578
C113       c         3056      2640
C114       c         817       3005
C115       c         767       217
C116       c         759       2282
C117       c         1950      2056
C118       c         2701      1538
C119       c         3174      1597
C120       c         1249      3628
C121       c         2867      3579
C122       c         59        2979
C123       c         2881      1883
C124       c         1694      107
C125       c         2035      1634
C126       c         3824      517
C127       c         1146      2961
C128       c         3163      193
C129       c         1460      2108
C130       c         338       1267
C131       c         3090      61
C132       c         1239      2826
C133       c         447       2377
C134       c         1724      1501
C135       c         1086      2691
C136       c         1705      2694
C137       c         3155      208
C138       c         2718      275
C139       c         3845      1963
C140       c         2841      2075
C141       c         930       602
C142       c         2298      2095
C143       c         3075      2337
C144       c         2533      913
C145       c         2962      117
C146       c         104       3656
C147       c         458       1139
C148       c         3390      3476
C149       c         2813      3282
C150       c         2099      3008
C151       c         795       1879
C152       c         489       2166
C153       c         2354      2503
C154       c         1338      1719
C155       c         1809      1346
C156       c         543       202
C157       c         786       366
C158       c         2896      1461
C159       c         3319      1586
C160       c         1069      3786
C161       c         148       644
C162       c         61        3908
C163       c         3533      261
C164       c         820       2674
C165       c         385       651
C166       c         2842      3667
C167       c         3047      351
C168       c         2378      1603
C169       c         280       3977
C170       c         1273      981
C171       c         558       3336
C172       c         1240      1825
C173       c         2091      1798
C174       c         730       3776
C175       c         1661      2316
C176       c         3834      118
C177       c         3297      274
C178       c         2967      558
C179       c         2757      2297
C180       c         3105      652
C181       c         2194      2813
C182       c         1625      3423
C183       c         1130      1669
C184       c         2420      822
C185       c         2446      3356
C186       c         3457      1301
C187       c         419       1605
C188       c         875       1000
C189       c         2422      2219
C190       c         2496      2071
C191       c         1662      503
C192       c         3859      3770
C193       c         2081      3109
C194       c         1471      623
C195       c         345       953
C196       c         3789      2666
C197       c         2968      3310
C198       c         472       3628
C199       c         2410      2223
C200       c         399       663
C201       c         219       2890
C202       c         3482      2400
C203       c         569       2657
C204       c         897       1414
C205       c         3354      3395
C206       c         778       2787
C207       c         961       1723
C208       c         2913      1793
C209       c         637       3239
C210       c         1340      1454
C211       c         594       2764
C212       c         2688      1459
C213       c         828       2439
C214       c         2526      3809
C215       c         2033      1703
C216       c         66        2989
C217       c         967       1433
C218       c         2830      1566
C219       c         2423      1060
C220       c         1954      3172
C221       c         1856      1847
C222       c         2047      235
C223       c         974       2080
C224       c         1036      2096
C225       c         28        895
C226       c         3000      116
C227       c         2647      3097
C228       c         353       3567
C229       c         3589      3409
C230       c         3285      3367
C231       c         455       3700
C232       c         214       3456
C233       c         3451      3667
C234       c         1795      566
C235       c         3013      3287
C236       c         502       3241
C237       c         1358      1776
C238       c         360       3672
C239       c         1965      1582
C240       c         2235      82
C241       c         2246      3828
C242       c         153       8
C243       c         3120      3690
C244       c         2073      1319
C245       c         1532      3410
C246       c         131       3109
C247       c         210       3101
C248       c         3604      442
C249       c         126       2111
C250       c         3331      3505
C251       c         3147      32
C252       c         3428      542
C253       c         3918      596
C254       c         2893      2226
C255       c         3207      2766
C256       c         3256      3405
C257       c         1443      3472
C258       c         2697      2707
C259       c         2246      2342
C260       c         2640      3299
C261       c         3559      852
C262       c         3568      484
C263       c         2844      2860
C264       c         961       416
C265       c         1144      3109
C266       c         1972      662
C267       c         178       3432
C268       c         3894      554
C269       c         3592      173
C270       c         2710      2432
C271       c         1283      1766
C272       c         2345      2281
C273       c         1468      474
C274       c         878       2429
C275       c         800       1685
C276       c         814       3114
C277       c         1040      1821
C278       c         454       3883
C279       c         748       1832
C280       c         1288      573
C281       c         3281      3149
C282       c         2143      2958
C283       c         769       152
C284       c         3794      1014
C285       c         290       1122
C286       c         1226      2699
C287       c         3625      1856
C288       c         2487      2415
C289       c         3864      3930
C290       c         528       333
C291       c         3334      1183
C292       c         1626      2629
C293       c         2270      2391
C294       c         2764      3267
C295       c         2091      633
C296       c         3088      3895
C297       c         2546      703
C298       c         2155      2720
C299       c         896       3222

X DEPOTCAPACITY /73/
DEPOTFIXCOST /496/
TRUCKCAPACITY /25/
