StringID  Type       x         y
D0         d         2636      5490
D1         d         367       3163
D2         d         861       3506
D3         d         1175      7280
C0         c         6846      2551
C1         c         6862      5106
C2         c         508       4137
C3         c         6834      3100
C4         c         5694      5735
C5         c         816       1587
C6         c         7554      2369
C7         c         4845      2908
C8         c         7465      7208
C9         c         2789      2224
C10        c         4534      34
C11        c         2131      3986
C12        c         6099      1219
C13        c         6096      4160
C14        c         4245      5464
C15        c         3006      2729
C16        c         4352      613
C17        c         6119      4991
C18        c         718       7506
C19        c         6754      1420
C20        c         5740      5729
C21        c         4535      2377
C22        c         5702      227
C23        c         1090      2733
C24        c         324       7084
C25        c         733       1347
C26        c         6292      1988
C27        c         185       127
C28        c         683       863
C29        c         2189      5202
C30        c         7558      2831
C31        c         3827      6140
C32        c         7222      825
C33        c         1550      290
C34        c         5531      7622
C35        c         1649      1824
C36        c         624       7194
C37        c         3900      2720
C38        c         5767      6986
C39        c         5512      364
C40        c         3414      137
C41        c         1286      3200
C42        c         947       5604
C43        c         6626      4196
C44        c         2268      5424
C45        c         2030      7096
C46        c         2746      2880
C47        c         5884      3600
C48        c         1895      1371
C49        c         1675      259

TRUCKCAPACITY /10/
DEPOTCAPACITY /40/
DEPOTFIXCOST /402/
