StringID  Type       x         y
D0         d         1785      7206
D1         d         5443      3251
D2         d         2558      893
D3         d         6220      425
D4         d         3365      5419
C0         c         5146      5367
C1         c         7509      6538
C2         c         6767      4834
C3         c         6928      7462
C4         c         884       1925
C5         c         83        3863
C6         c         4790      3526
C7         c         6077      5518
C8         c         7022      7305
C9         c         2292      7341
C10        c         517       2596
C11        c         4677      924
C12        c         4823      3090
C13        c         5514      3033
C14        c         5688      5867
C15        c         1617      5327
C16        c         3508      147
C17        c         3898      2475
C18        c         5275      5810
C19        c         3233      875
C20        c         1982      6501
C21        c         637       5943
C22        c         627       7220
C23        c         3464      5365
C24        c         4319      3395
C25        c         2465      4120
C26        c         3956      5836
C27        c         366       1208
C28        c         6584      1740
C29        c         5957      6376
C30        c         3656      5885
C31        c         5453      7236
C32        c         7197      1797
C33        c         3808      4041
C34        c         6927      6893
C35        c         1332      5098
C36        c         407       2004
C37        c         3899      2783
C38        c         3545      6885
C39        c         5319      2881
C40        c         7650      4742
C41        c         6386      2260
C42        c         1838      5074
C43        c         6077      4516
C44        c         6509      1098
C45        c         759       3411
C46        c         2182      6599
C47        c         6753      1201
C48        c         6621      180
C49        c         1807      397
C50        c         6354      7289
C51        c         6673      5835
C52        c         6282      3130
C53        c         7251      5815
C54        c         5361      4546
C55        c         6082      5529
C56        c         3327      3258
C57        c         4016      4746
C58        c         571       3615
C59        c         122       5765
C60        c         1918      7155
C61        c         616       961
C62        c         5882      3890
C63        c         2516      5950
C64        c         4986      6663
C65        c         4751      670
C66        c         4843      7232
C67        c         6784      2615
C68        c         540       0
C69        c         1934      5990
C70        c         2498      3763
C71        c         1729      1318
C72        c         2239      1095
C73        c         3235      5857
C74        c         4004      6810
C75        c         2285      4998
C76        c         3444      1838
C77        c         4959      6875
C78        c         939       6948
C79        c         1008      277
C80        c         7550      360
C81        c         4135      5798
C82        c         613       6953
C83        c         1993      598
C84        c         471       6284
C85        c         1204      7061
C86        c         5716      3489
C87        c         4619      5391
C88        c         7593      918
C89        c         659       1410
C90        c         1136      42
C91        c         3165      6860
C92        c         726       3941
C93        c         1958      5449
C94        c         5281      4998
C95        c         3323      2907
C96        c         5745      3390
C97        c         7329      330
C98        c         581       4123
C99        c         3379      3407
C100       c         2370      7495
C101       c         5005      2027
C102       c         3248      4722
C103       c         7145      2173
C104       c         1094      1805
C105       c         2632      1044
C106       c         4519      6585
C107       c         20        2178
C108       c         300       4095
C109       c         1283      2482
C110       c         6628      2625
C111       c         2878      2363
C112       c         4313      2032
C113       c         4291      2100
C114       c         6037      5632
C115       c         519       843
C116       c         7653      5017
C117       c         5600      4369
C118       c         7389      3856
C119       c         3235      3224
C120       c         4892      3861
C121       c         6281      2624
C122       c         1106      1582
C123       c         7000      6862
C124       c         511       4708
C125       c         1343      7358
C126       c         1405      5435
C127       c         1793      475
C128       c         2368      2024
C129       c         1366      1804
C130       c         4445      2495
C131       c         7054      4209
C132       c         2377      2795
C133       c         7543      1454
C134       c         2275      6497
C135       c         3201      647
C136       c         4277      7191
C137       c         5152      4526
C138       c         3447      3696
C139       c         882       472
C140       c         5845      7163
C141       c         4642      4886
C142       c         7539      5726
C143       c         5260      6755
C144       c         2093      6029
C145       c         4385      377
C146       c         2723      4672
C147       c         3341      7402
C148       c         3317      1187
C149       c         24        3179
C150       c         3787      4431
C151       c         3530      6003
C152       c         3481      3193
C153       c         979       517
C154       c         1569      4457
C155       c         4010      3017
C156       c         4921      3630
C157       c         6515      6498
C158       c         1998      2449
C159       c         2598      2044
C160       c         4137      5447
C161       c         4846      7460
C162       c         3185      619
C163       c         5583      733
C164       c         3697      7211
C165       c         7052      6640
C166       c         5276      6337
C167       c         1736      131
C168       c         1102      6821
C169       c         3179      2797
C170       c         1877      512
C171       c         5447      3785
C172       c         7344      2148
C173       c         252       1097
C174       c         662       2235
C175       c         3608      5582
C176       c         955       6014
C177       c         5507      949
C178       c         6606      6952
C179       c         795       3187
C180       c         838       6889
C181       c         7067      2276
C182       c         4702      5022
C183       c         6081      4320
C184       c         862       2817
C185       c         688       1552
C186       c         29        1821
C187       c         5011      7423
C188       c         3268      3590
C189       c         1155      5748
C190       c         980       5574
C191       c         3755      256
C192       c         3947      2202
C193       c         4009      6355
C194       c         7107      3423
C195       c         1592      7123
C196       c         2811      2631
C197       c         5644      3056
C198       c         6682      4560
C199       c         7422      1457

TRUCKCAPACITY /25/
DEPOTCAPACITY /93/
DEPOTFIXCOST /669/
