StringID  Type       x         y
D0         d         3220      9083
D1         d         8208      3606
D2         d         4433      184
C0         c         3898      10255
C1         c         7721      5742
C2         c         160       944
C3         c         7506      8455
C4         c         4262      7961
C5         c         3510      9166
C6         c         8037      642
C7         c         6975      600
C8         c         538       3660
C9         c         3295      10061
C10        c         4371      7066
C11        c         10431     10461
C12        c         8975      2514
C13        c         4262      414
C14        c         6638      1257
C15        c         2621      5733
C16        c         5665      9022
C17        c         9904      7930
C18        c         4867      9285
C19        c         10519     2601
C20        c         2480      5895
C21        c         5174      3950
C22        c         293       2407
C23        c         2578      6393
C24        c         1880      2329
C25        c         8973      10450
C26        c         7625      6382
C27        c         3436      3335
C28        c         5433      10763
C29        c         3191      5852

TRUCKCAPACITY /10/
DEPOTCAPACITY /25/
DEPOTFIXCOST /676/
