StringID  Type       x         y
D0         d         2890      1051
D1         d         589       6652
D2         d         5004      3252
D3         d         167       1468
C0         c         3617      3768
C1         c         1937      5465
C2         c         3192      1899
C3         c         7311      4695
C4         c         3538      5016
C5         c         7570      7156
C6         c         3402      2946
C7         c         4380      4281
C8         c         1299      2334
C9         c         6564      1104
C10        c         258       5759
C11        c         572       4501
C12        c         5196      6802
C13        c         7281      3823
C14        c         1680      6667
C15        c         1907      2273
C16        c         5656      4767
C17        c         4214      1756
C18        c         5980      4212
C19        c         6743      3672
C20        c         5575      7638
C21        c         1155      35
C22        c         446       299
C23        c         1813      1016
C24        c         6111      4393
C25        c         4158      3667
C26        c         1414      1350
C27        c         5866      4740
C28        c         1174      2672
C29        c         160       1282
C30        c         1654      5119
C31        c         1194      3
C32        c         4185      744
C33        c         6263      3145
C34        c         6851      2355
C35        c         6461      63
C36        c         7241      4015
C37        c         5346      1348
C38        c         6552      6116
C39        c         4637      3399
C40        c         1208      5193
C41        c         6617      5268
C42        c         3986      183
C43        c         1498      5613
C44        c         1456      6942
C45        c         1186      221
C46        c         2373      3191
C47        c         5270      4169
C48        c         5485      6649
C49        c         2141      328

X DEPOTCAPACITY /33/
DEPOTFIXCOST /496/
TRUCKCAPACITY /10/
