StringID  Type       x         y
D0         d         2652      1004
D1         d         2292      3527
D2         d         508       3617
C0         c         2808      977
C1         c         505       2232
C2         c         1259      2991
C3         c         3735      3538
C4         c         376       2610
C5         c         2516      3402
C6         c         2946      380
C7         c         3961      19
C8         c         1694      2564
C9         c         1104      258
C10        c         1439      3932
C11        c         501       236
C12        c         2802      2961
C13        c         2863      400
C14        c         2347      1267
C15        c         1633      1336
C16        c         447       3894
C17        c         1436      1340
C18        c         3892      2103
C19        c         3352      1575
C20        c         2998      1155
C21        c         2755      3166
C22        c         3019      853
C23        c         56        1471
C24        c         3753      3838
C25        c         3027      1414
C26        c         70        1226
C27        c         420       3894
C28        c         2352      2880
C29        c         642       694
C30        c         159       554
C31        c         3043      185
C32        c         744       1623
C33        c         2185      2211
C34        c         2035      1821
C35        c         3743      2281
C36        c         15        386
C37        c         388       1592
C38        c         2116      637
C39        c         3399      568

X DEPOTCAPACITY /29/
DEPOTFIXCOST /171/
TRUCKCAPACITY /10/
