StringID  Type       x         y
D0         d         1671      7146
D1         d         4204      660
D2         d         7169      1340
D3         d         4470      7100
D4         d         1018      6719
C0         c         4067      1870
C1         c         246       2423
C2         c         3579      2311
C3         c         2061      680
C4         c         5954      5094
C5         c         2964      7401
C6         c         5697      737
C7         c         6393      2810
C8         c         2953      2006
C9         c         3055      7639
C10        c         5110      708
C11        c         1739      2445
C12        c         1073      2363
C13        c         3630      1613
C14        c         376       4625
C15        c         3045      6591
C16        c         6050      6487
C17        c         3341      2712
C18        c         93        651
C19        c         3963      6767
C20        c         2491      1295
C21        c         91        461
C22        c         1517      7386
C23        c         2582      6275
C24        c         4174      1390
C25        c         6522      7232
C26        c         4515      3338
C27        c         533       2402
C28        c         928       4640
C29        c         481       5645
C30        c         1967      3337
C31        c         3623      3450
C32        c         2798      4088
C33        c         413       3986
C34        c         5494      301
C35        c         5585      4796
C36        c         7395      3435
C37        c         7115      5619
C38        c         2577      1195
C39        c         3566      4891
C40        c         4131      4882
C41        c         2336      5013
C42        c         1738      6177
C43        c         1323      1297
C44        c         6596      2092
C45        c         4194      1187
C46        c         418       525
C47        c         5255      4634
C48        c         4559      2841
C49        c         5356      909
C50        c         5582      7507
C51        c         7641      822
C52        c         451       5088
C53        c         5422      1923
C54        c         3125      4027
C55        c         4681      5995
C56        c         4882      3242
C57        c         3370      6911
C58        c         1523      625
C59        c         5845      65
C60        c         1954      6213
C61        c         248       6712
C62        c         730       3715
C63        c         5326      3652
C64        c         1101      6818
C65        c         2883      5552
C66        c         7147      359
C67        c         1625      6022
C68        c         866       1367
C69        c         4554      4775
C70        c         6625      1394
C71        c         6895      6170
C72        c         3362      30
C73        c         480       6053
C74        c         2983      5218
C75        c         6621      666
C76        c         4676      1364
C77        c         5357      244
C78        c         5341      5589
C79        c         5316      4258
C80        c         4209      2171
C81        c         5866      4899
C82        c         7255      5583
C83        c         26        7507
C84        c         1736      185
C85        c         2281      4997
C86        c         3230      4408
C87        c         2472      5073
C88        c         1115      854
C89        c         5514      688
C90        c         3181      4700
C91        c         266       454
C92        c         6321      5698
C93        c         1415      2302
C94        c         1333      4969
C95        c         1073      2012
C96        c         7234      1677
C97        c         7209      1295
C98        c         6554      245
C99        c         6628      1094
C100       c         6398      7404
C101       c         3025      1093
C102       c         2035      5749
C103       c         4667      3384
C104       c         710       2619
C105       c         112       1351
C106       c         718       5319
C107       c         803       1386
C108       c         6641      1013
C109       c         6159      4735
C110       c         6505      5289
C111       c         4317      666
C112       c         2504      4286
C113       c         2888      3228
C114       c         5690      6463
C115       c         5759      6663
C116       c         5387      1242
C117       c         970       2832
C118       c         361       145
C119       c         2161      758
C120       c         3178      2227
C121       c         4314      4755
C122       c         1873      523
C123       c         1777      817
C124       c         6413      6487
C125       c         7628      2974
C126       c         5378      764
C127       c         3728      5507
C128       c         5900      759
C129       c         142       1777
C130       c         1217      4375
C131       c         1714      1085
C132       c         7671      1897
C133       c         7198      5134
C134       c         6791      4340
C135       c         5138      1972
C136       c         4944      1703
C137       c         783       7611
C138       c         1150      7312
C139       c         6460      1216
C140       c         5388      847
C141       c         3080      644
C142       c         7559      3529
C143       c         273       1343
C144       c         3605      801
C145       c         3141      3383
C146       c         4535      1764
C147       c         2374      2192
C148       c         1739      387
C149       c         6675      6502
C150       c         1237      4871
C151       c         4838      6681
C152       c         894       1024
C153       c         3928      5096
C154       c         2269      2750
C155       c         4811      3522
C156       c         1782      6852
C157       c         6153      856
C158       c         7296      3194
C159       c         553       1143
C160       c         7404      1826
C161       c         2227      1173
C162       c         2466      2829
C163       c         6916      6314
C164       c         7310      6671
C165       c         7411      7489
C166       c         3547      48
C167       c         6324      6350
C168       c         6398      1188
C169       c         1021      5698
C170       c         5367      3326
C171       c         4712      4573
C172       c         2515      160
C173       c         6937      1603
C174       c         3958      3190
C175       c         1952      1491
C176       c         2967      1252
C177       c         6176      5684
C178       c         2316      1020
C179       c         6833      2608
C180       c         3144      1013
C181       c         2564      966
C182       c         6434      472
C183       c         1350      2682
C184       c         2520      3197
C185       c         3398      4592
C186       c         2387      438
C187       c         6361      5817
C188       c         3756      2506
C189       c         638       4461
C190       c         1008      3877
C191       c         2366      7674
C192       c         5664      1613
C193       c         2262      2363
C194       c         124       5656
C195       c         5400      4813
C196       c         2817      2077
C197       c         2703      1310
C198       c         561       3944
C199       c         3170      6598
C200       c         6162      5490
C201       c         2426      2587
C202       c         6265      1872
C203       c         743       7679
C204       c         648       4394
C205       c         4480      3325
C206       c         1398      6127
C207       c         1738      917
C208       c         4750      2887
C209       c         5404      3795
C210       c         2683      1481
C211       c         4352      6183
C212       c         7618      7023
C213       c         3547      3440
C214       c         7312      4678
C215       c         465       4442
C216       c         1974      362
C217       c         739       6634
C218       c         6898      6194
C219       c         346       343
C220       c         4208      3496
C221       c         4969      5916
C222       c         400       1596
C223       c         4110      331
C224       c         1770      7097
C225       c         3385      7204
C226       c         7568      2935
C227       c         3888      3046
C228       c         6034      6355
C229       c         6450      4325
C230       c         3528      1500
C231       c         7002      1501
C232       c         4299      1103
C233       c         7623      4230
C234       c         1349      6854
C235       c         6394      1640
C236       c         1387      1068
C237       c         6527      6129
C238       c         4551      7540
C239       c         6352      2501
C240       c         6459      1930
C241       c         2422      85
C242       c         4163      1418
C243       c         6257      435
C244       c         6522      5937
C245       c         474       933
C246       c         352       7057
C247       c         6343      1528
C248       c         5466      4616
C249       c         1135      2326
C250       c         2042      1394
