StringID  Type       x         y
D0         d         674       4356
D1         d         1375      4984
D2         d         3237      6630
C0         c         5179      4001
C1         c         4139      7306
C2         c         1254      788
C3         c         4023      4474
C4         c         3993      1461
C5         c         5097      485
C6         c         2964      339
C7         c         1187      55
C8         c         4961      1246
C9         c         1898      1773
C10        c         7260      6612
C11        c         5391      4520
C12        c         4979      4605
C13        c         142       7296
C14        c         811       3928
C15        c         2870      6554
C16        c         6883      5717
C17        c         7178      253
C18        c         4445      4676
C19        c         4200      3745
C20        c         5754      526
C21        c         7656      3273
C22        c         6725      5411
C23        c         3463      2195
C24        c         4915      3763
C25        c         6661      1230
C26        c         938       5409
C27        c         395       267
C28        c         191       7093
C29        c         3729      7415

TRUCKCAPACITY /10/
DEPOTCAPACITY /20/
DEPOTFIXCOST /487/
