StringID  Type       x         y
D0         d         2652      1004
D1         d         2292      3527
D2         d         508       3617
D3         d         2808      977
C0         c         505       2232
C1         c         1259      2991
C2         c         3735      3538
C3         c         376       2610
C4         c         2516      3402
C5         c         2946      380
C6         c         3961      19
C7         c         1694      2564
C8         c         1104      258
C9         c         1439      3932
C10        c         501       236
C11        c         2802      2961
C12        c         2863      400
C13        c         2347      1267
C14        c         1633      1336
C15        c         447       3894
C16        c         1436      1340
C17        c         3892      2103
C18        c         3352      1575
C19        c         2998      1155
C20        c         2755      3166
C21        c         3019      853
C22        c         56        1471
C23        c         3753      3838
C24        c         3027      1414
C25        c         70        1226
C26        c         420       3894
C27        c         2352      2880
C28        c         642       694
C29        c         159       554
C30        c         3043      185
C31        c         744       1623
C32        c         2185      2211
C33        c         2035      1821
C34        c         3743      2281
C35        c         15        386
C36        c         388       1592
C37        c         2116      637
C38        c         3399      568
C39        c         553       2617
C40        c         948       3666
C41        c         3543      538
C42        c         973       816
C43        c         2302      1186
C44        c         3901      1413
C45        c         2871      310
C46        c         169       525
C47        c         2649      1501
C48        c         328       2165
C49        c         2384      2249

X DEPOTCAPACITY /29/
DEPOTFIXCOST /171/
TRUCKCAPACITY /10/
