StringID  Type       x         y
D0         d         10910     8540
D1         d         2051      5485
D2         d         8767      390
D3         d         10528     7719
C0         c         6013      3684
C1         c         9849      2018
C2         c         4309      588
C3         c         4828      6708
C4         c         2230      5773
C5         c         6581      6760
C6         c         6521      506
C7         c         7109      1838
C8         c         6032      2558
C9         c         210       4505
C10        c         9736      5087
C11        c         1327      5162
C12        c         8560      2637
C13        c         6701      10907
C14        c         8263      8668
C15        c         9201      2847
C16        c         6633      7529
C17        c         10280     3784
C18        c         4019      2794
C19        c         1257      3449
C20        c         9839      1609
C21        c         10402     822
C22        c         3018      8489
C23        c         1558      3672
C24        c         3508      7513
C25        c         2125      229
C26        c         9655      6818
C27        c         9260      367
C28        c         7764      7508
C29        c         8574      10939
C30        c         9394      1118
C31        c         1539      8254
C32        c         4920      8933
C33        c         4209      1923
C34        c         4701      9356
C35        c         4712      4040
C36        c         7190      4213
C37        c         170       6114
C38        c         4768      4647
C39        c         8443      7101
C40        c         2575      2353
C41        c         7117      913
C42        c         4566      2174
C43        c         591       9329
C44        c         9464      7441
C45        c         8695      10934
C46        c         4526      9058
C47        c         8990      9699
C48        c         8481      4033
C49        c         10027     5378

TRUCKCAPACITY /10/
DEPOTCAPACITY /39/
DEPOTFIXCOST /604/
