StringID  Type       x         y
D0         d         1273      2890
D1         d         1051      589
D2         d         6652      5004
D3         d         3252      167
D4         d         1468      3617
C0         c         3768      1937
C1         c         5465      3192
C2         c         1899      7311
C3         c         4695      3538
C4         c         5016      7570
C5         c         7156      3402
C6         c         2946      4380
C7         c         4281      1299
C8         c         2334      6564
C9         c         1104      258
C10        c         5759      572
C11        c         4501      5196
C12        c         6802      7281
C13        c         3823      1680
C14        c         6667      1907
C15        c         2273      5656
C16        c         4767      4214
C17        c         1756      5980
C18        c         4212      6743
C19        c         3672      5575
C20        c         7638      1155
C21        c         35        446
C22        c         299       1813
C23        c         1016      6111
C24        c         4393      4158
C25        c         3667      1414
C26        c         1350      5866
C27        c         4740      1174
C28        c         2672      160
C29        c         1282      1654
C30        c         5119      1194
C31        c         3         4185
C32        c         744       6263
C33        c         3145      6851
C34        c         2355      6461
C35        c         63        7241
C36        c         4015      5346
C37        c         1348      6552
C38        c         6116      4637
C39        c         3399      1208
C40        c         5193      6617
C41        c         5268      3986
C42        c         183       1498
C43        c         5613      1456
C44        c         6942      1186
C45        c         221       2373
C46        c         3191      5270
C47        c         4169      5485
C48        c         6649      2141
C49        c         328       2485
C50        c         2704      3209
C51        c         6197      6366
C52        c         6283      3705
C53        c         4098      1246
C54        c         404       3709
C55        c         4046      4136
C56        c         742       7484
C57        c         3258      3117
C58        c         1978      1107
C59        c         3065      1315
C60        c         2         575
C61        c         807       1797
C62        c         5466      7037
C63        c         7388      5595
C64        c         5180      1775
C65        c         2944      5947
C66        c         5491      4482
C67        c         1633      6928
C68        c         5586      1806
C69        c         258       5018
C70        c         549       126
C71        c         1207      3254
C72        c         872       5936
C73        c         3694      608
C74        c         7479      415
C75        c         4816      5238
C76        c         5254      7487
C77        c         6281      6590
C78        c         6290      2984
C79        c         227       4651
C80        c         6679      3831
C81        c         3738      5724
C82        c         2756      1905
C83        c         2796      4710
C84        c         3308      7274
C85        c         2287      979
C86        c         6526      614
C87        c         4391      4331
C88        c         4663      5757
C89        c         3928      2866
C90        c         22        260
C91        c         1177      305
C92        c         6161      873
C93        c         7082      889
C94        c         7174      3935
C95        c         1927      2278
C96        c         500       1339
C97        c         4669      1057
C98        c         3435      3486
C99        c         1021      6760
C100       c         7489      1109
C101       c         2159      1426
C102       c         2439      1149
C103       c         2632      1357
C104       c         1979      5099
C105       c         287       5547
C106       c         831       4555
C107       c         1917      4317
C108       c         2058      2182
C109       c         6451      574
C110       c         5534      6890
C111       c         7152      147
C112       c         2106      5253
C113       c         2578      7056
C114       c         2640      5457
C115       c         3005      4767
C116       c         5177      4759
C117       c         2602      2270
C118       c         6696      3341
C119       c         1858      3174
C120       c         6237      6209
C121       c         3948      6867
C122       c         7579      1339
C123       c         2979      3841
C124       c         2523      2654
C125       c         5067      6675
C126       c         5954      144
C127       c         837       1466
C128       c         3921      3483
C129       c         1473      1460
C130       c         6748      978
C131       c         6227      3730
C132       c         1341      5879
C133       c         3786      447
C134       c         2377      5724
C135       c         6461      1726
C136       c         2691      5705
C137       c         7654      435
C138       c         528       2718
C139       c         4915      805
C140       c         2283      6841
C141       c         2075      5890
C142       c         1242      6298
C143       c         2735      7395
C144       c         2977      7493
C145       c         5873      2962
C146       c         117       104
C147       c         7656      458
C148       c         1459      3390
C149       c         756       3133
C150       c         3282      2739
C151       c         7008      1755
C152       c         2199      4809
C153       c         3126      6994
C154       c         3463      1338
C155       c         5719      2769
C156       c         6306      863
C157       c         202       786
C158       c         4686      2896
C159       c         5461      7319
C160       c         6546      5709
C161       c         4426      4148
C162       c         1924      4701
C163       c         1188      3533
C164       c         261       820
C165       c         6994      4705
C166       c         5291      3162
C167       c         4307      327
C168       c         4351      2698
C169       c         2563      4280
C170       c         1257      6233
C171       c         5941      5518
C172       c         616       1560
C173       c         6785      6731
C174       c         2438      5370
C175       c         96        5981
C176       c         2956      4474
C177       c         118       4257
C178       c         5234      247
C179       c         1198      37
C180       c         6297      3745
C181       c         652       6194
C182       c         3773      1945
C183       c         703       5770
C184       c         5669      6740
C185       c         1782      7406
C186       c         3356      4417
C187       c         5621      739
C188       c         6565      1195
C189       c         1000      2742
C190       c         3179      7136
C191       c         6391      1982
C192       c         503       4499
C193       c         1050      3041
C194       c         3109      2431
C195       c         1583      1625
C196       c         5593      4429
C197       c         6986      7608
C198       c         3310      4792
C199       c         588       3370

X DEPOTCAPACITY /96/
DEPOTFIXCOST /698/
TRUCKCAPACITY /25/
