StringID  Type       x         y
D0         d         2890      1051
D1         d         589       6652
D2         d         5004      3252
C0         c         167       1468
C1         c         3617      3768
C2         c         1937      5465
C3         c         3192      1899
C4         c         7311      4695
C5         c         3538      5016
C6         c         7570      7156
C7         c         3402      2946
C8         c         4380      4281
C9         c         1299      2334
C10        c         6564      1104
C11        c         258       5759
C12        c         572       4501
C13        c         5196      6802
C14        c         7281      3823
C15        c         1680      6667
C16        c         1907      2273
C17        c         5656      4767
C18        c         4214      1756
C19        c         5980      4212
C20        c         6743      3672
C21        c         5575      7638
C22        c         1155      35
C23        c         446       299
C24        c         1813      1016
C25        c         6111      4393
C26        c         4158      3667
C27        c         1414      1350
C28        c         5866      4740
C29        c         1174      2672
C30        c         160       1282
C31        c         1654      5119
C32        c         1194      3
C33        c         4185      744
C34        c         6263      3145
C35        c         6851      2355
C36        c         6461      63
C37        c         7241      4015
C38        c         5346      1348
C39        c         6552      6116

X DEPOTCAPACITY /33/
DEPOTFIXCOST /496/
TRUCKCAPACITY /10/
