StringID  Type       x         y
D0         d         5149      4981
D1         d         3880      2440
D2         d         6637      2656
C0         c         7055      4127
C1         c         4874      4006
C2         c         3630      5169
C3         c         1863      726
C4         c         2855      2793
C5         c         116       4244
C6         c         3168      3879
C7         c         572       1259
C8         c         1156      7289
C9         c         334       6629
C10        c         2891      71
C11        c         6587      601
C12        c         6908      3405
C13        c         1695      773
C14        c         2864      6990
C15        c         5380      7644
C16        c         4312      2823
C17        c         515       7585
C18        c         4481      7267
C19        c         4140      3509
C20        c         471       1261
C21        c         553       46
C22        c         7016      2186
C23        c         157       2600
C24        c         2987      1128
C25        c         338       7264
C26        c         7233      4146
C27        c         6036      3583
C28        c         122       6022
C29        c         5592      2995

TRUCKCAPACITY /10/
DEPOTCAPACITY /22/
DEPOTFIXCOST /414/
